epoch,train_cost,train_max_acc,train_acc,test_cost,test_max_acc,test_acc
1,216.44457331299782,100.0,68.9375,2.639163598418236,95.0,84.75
2,10.963367756456137,100.0,84.3125,2.7105316296219826,100.0,84.5
3,11.029279969632626,100.0,85.1875,2.430010534822941,100.0,85.5
4,10.150611400604248,100.0,86.75,2.756604954600334,100.0,85.75
5,10.064769633114338,100.0,86.6875,2.779532879590988,95.0,86.0
6,9.376929877325892,100.0,86.6875,2.6213826164603233,100.0,86.0
7,9.154431888833642,100.0,87.5,2.3088096268475056,100.0,86.0
8,10.350990615785122,100.0,85.5,2.6263758316636086,95.0,86.25
9,8.854048309847713,100.0,87.5,2.1526374220848083,95.0,87.25
10,8.62457625940442,100.0,87.875,2.6203286200761795,100.0,86.75
11,8.269557878375053,100.0,87.9375,2.0919328816235065,100.0,87.25
12,8.406235616654158,100.0,88.0625,2.1526793278753757,100.0,86.5
13,7.974166303873062,100.0,88.0625,2.1389542631804943,95.0,86.25
14,8.404194567352533,100.0,87.875,2.219392716884613,100.0,86.5
15,8.072607763111591,100.0,87.875,2.146114654839039,100.0,86.25
16,8.493309117853642,100.0,88.0,2.006774440407753,100.0,87.25
17,7.779201170429587,100.0,88.1875,2.0755205042660236,95.0,87.0
18,7.793320182710886,100.0,88.0,2.0256846956908703,100.0,87.0
19,7.710591258481145,100.0,88.125,1.9988928623497486,100.0,87.25
20,7.753106024116278,100.0,88.1875,2.3825805000960827,95.0,87.0
21,7.855758965015411,100.0,88.25,1.9551583379507065,95.0,87.25
22,8.143533423542976,100.0,87.9375,2.284591369330883,100.0,86.25
23,8.268127664923668,100.0,87.5,2.135256841778755,100.0,86.75
24,7.639251988381147,100.0,88.1875,1.8331549670547247,100.0,87.0
25,6.478362194262445,100.0,90.0,1.6379974000155926,100.0,88.5
